Date,Earnings,Pageviews,Sessions,Page RPM
2026-08-14,14.43,1823,698,7.92
2026-08-15,8.81,972,391,9.06
2026-08-16,11.52,1998,643,5.76
2026-08-17,25.71,4318,1080,5.95
2026-08-18,16.66,3455,1083,4.82
2026-08-19,34.57,8241,4208,4.2
2026-08-20,20.98,5861,3486,3.58
2026-08-21,21.51,5937,3759,3.62
2026-08-22,6.65,1491,965,4.46
2026-08-23,7.60,1501,552,5.07
2026-08-24,22.70,4645,1295,4.89
2026-08-25,36.59,4601,1311,7.95
2026-08-26,29.79,5402,1400,5.52
2026-08-27,47.97,5985,1440,8.01
2026-08-28,38.37,5092,1284,7.53
2026-08-29,8.60,1250,561,6.88
2026-08-30,11.27,1749,671,6.44
2026-08-31,28.21,5032,1558,5.61
2026-09-01,47.80,5335,1587,8.96
2026-09-02,56.51,5539,1613,10.2
2026-09-03,62.48,5679,1774,11
2026-09-04,48.50,4010,1391,12.09
2026-09-05,8.04,1061,494,7.58
2026-09-06,8.14,1214,541,6.7
2026-09-07,14.66,2885,1020,5.08
2026-09-08,56.85,7367,2025,7.72
2026-09-09,62.76,6733,1817,9.32
2026-09-10,52.36,5413,1855,9.67
2026-09-11,43.87,4812,1781,9.12
2026-09-12,14.68,1296,582,11.33
2026-09-13,33.87,,1055,
2026-09-14,61.23,,2225,
2026-09-15,52.25,,1945,
2026-09-16,56.70,,2170,
